Bikeability factor ,Weight,Used_var_whole city,Weights,
Presence and enforcement of passing distance law ,0.107,,,
Presence of bike lane marking ,0.101,,,
Presence of on-street parking ,0.072,,,
"Bike lane type (e.g. conventional, buffered, etc.) ",0.067,0.067,0.208074534,
"Road-side hazards (e.g. ditches, storm grates, etc.) ",0.066,,,
Motor vehicle speed on the adjacent lane ,0.061,0.061,0.189440994,
Presence of paved shoulder ,0.056,,,
Motor vehicle volume ,0.054,0.054,0.167701863,highway_tag
Bike lane width ,0.047,,,
Presence of heavy vehicles ,0.043,,,
Sight distance restrictions ,0.042,,,
Street lighting ,0.039,,,
Pavement condition ,0.035,0.035,0.108695652,
Number of motor vehicle travel lanes ,0.035,0.035,0.108695652,
Presence of trees (green areas) ,0.031,,,
Number of driveways ,0.029,,,
Road grade/slope (length and severity) ,0.032,,,
Motor vehicle travel lane width ,0.028,0.028,0.086956522,
Number of transit stops ,0.023,0.023,0.071428571,
On-street parking angle ,0.021,,,
Bicycle volume ,0.019,0.019,0.059006211,oneway_tag
Sum,1.008,0.322,1,
