,distance,duration,surface_type,waytypes,steepness,suitability,maxspeed,lanes,oneway,directness
0,5480.5,1142.1,7.682900000000001,8.56094390560944,10.0,8.0487,9.0,10.0,9.0,1.0
1,7174.0,1464.1,8.172617261726174,8.011000000000001,10.0,8.491900000000001,8.0,9.0,9.0,1.0
2,16387.6,3583.1,8.816899999999999,8.634999999999998,10.0,8.321467853214681,8.0,9.0,8.0,8.0
3,5019.8,1049.3,9.1119,8.182300000000001,10.0,9.1441,9.0,9.0,6.0,8.0
4,8483.7,1817.1,5.882400000000002,9.037300000000002,10.0,9.126112611261126,7.0,10.0,7.0,10.0
5,17474.2,3549.6,8.281,8.8503,10.0,8.441799999999999,8.0,10.0,7.0,1.0
6,10199.4,2116.7,6.229600000000001,9.331800000000001,10.0,8.462600000000002,9.0,9.0,5.0,9.0
7,8304.7,1742.8,8.4437,8.2816,10.0,8.6955,9.0,9.0,6.0,1.0
8,9208.2,1861.1,8.995000499950004,7.996,10.0,9.154400000000003,8.0,10.0,7.0,1.0
9,4233.4,870.8,5.4249,9.717299999999998,10.0,8.6762,9.0,10.0,5.0,8.0
10,7583.0,1750.0,9.529352935293531,9.160000000000002,10.0,8.5635,7.0,10.0,6.0,9.0
11,9031.4,1852.0,7.866813318668134,9.0645,10.0,8.408000000000001,9.0,10.0,6.0,8.0
12,4473.0,978.4,8.086099999999998,9.342099999999999,10.0,7.7615,8.0,10.0,5.0,1.0
13,7687.0,1801.4,9.252699999999999,8.014398560143984,10.0,8.236023602360238,8.0,8.0,7.0,8.0
14,11111.0,2534.8,8.5005,8.4268,10.0,8.14978502149785,7.0,9.0,7.0,1.0
15,16510.4,3419.1,8.899600000000001,8.773299999999999,10.0,9.148100000000001,8.0,10.0,6.0,1.0
16,4502.8,915.2,5.6730673067306725,9.518048195180484,10.0,8.704799999999999,8.0,5.0,5.0,9.0
17,14281.6,2977.4,6.847415258474154,8.92940705929407,9.984000000000002,8.478352164783523,8.0,5.0,6.0,1.0
18,9510.2,2043.0,7.976399999999999,9.563056305630562,10.0,8.657,7.0,5.0,7.0,1.0
19,9461.2,1932.0,8.494299999999999,9.148000000000001,10.0,9.148800000000001,8.0,10.0,8.0,1.0
