place,average_index,max_index,min_index,std_index,grids,nsegments,unused_grids,mode_share,bna_score,walkscore
"Davis, California",25.06195706,57.85140561,0,5.831566333,14,140157,2,16.6,72,89
"Berkeley, California",31.63817866,59.3172691,0.92369478,10.73314935,10,73293,5,9,nan,89
"Palo Alto, California",28.98033624,56.35633442,0.839722527,9.752384926,7,13152,4,7.8,42,nan
"Missoula, Montana",30.05436866,55.41164658,2.30923695,8.50437269,36,465048,0,7.2,30,69
"Somerville, Massachusetts",41.56288424,69.5582329,1.5394913,16.99550899,8,183968,0,6.6,13,nan
"Portland, Oregon",29.7355632,67.34047303,0.92369478,8.999737682,12,128840,4,6.3,35,98
"Eugene, Oregon",27.07510264,58.07228913,0,7.094477652,9,113958,0,6.2,25,74
"Cambridge, Massachusetts",43.83582079,70.24765726,1.5394913,17.71652985,8,179575,0,6.1,32,93
"Mountain View, California",29.68918354,59.00602409,2.639127943,9.579987653,9,140923,3,5.7,nan,nan
"Fort Collins, Colorado",27.96074372,63.17269073,1.84738956,7.63111461,11,115176,4,5.3,56,80
