place,average_index,max_index,min_index
"Freiburg, Germany",35.340307061860635,83.86880857,1.23159304
"Emmendingen, Germany",34.705048077224106,82.98527445,2.639127942857143
"Copenhagen Municipality,Denmark",40.54726438343678,82.60597949333334,0.92369478
"Amsterdam, Netherlands",35.500186078303344,92.14190094,0.0
"Bordeaux, France",32.81191287463886,88.61222668666667,0.0
"Bremen, Germany",33.35012575093988,88.61222668666667,0.0
"Taipei, Taiwan",26.520318728963108,76.74698797,1.8473895600000003
"Hamburg, Germany",41.99180606538792,81.12003569333334,2.052655066666667
"Bordeaux, France",32.81191287463886,88.61222668666667,0.0
