place,average_index,max_index,min_index,std_index,grids,nsegments,unused_grids
"Bern, Switzerland",59.45885234082425,97.61904753333334,28.88211637060877,12.488002495422895,5.0,26542.0,1.0
"Bordeaux, France",60.867953179328225,97.02380944166666,23.312629366666666,11.660135856768779,3.0,24112.0,1.0
"Bremen, Germany",61.44516121140173,98.41269832222223,20.966183544444448,11.977498369338665,26.0,162398.0,5.0
"Utrecht, Netherlands",67.58028795896232,99.9999999,21.77018631,10.431372276131947,6.0,54351.0,0.0
"Strasbourg, France",61.3755263405466,98.41269832222223,14.712732900000002,11.567918775245593,7.0,48624.0,1.0
"Amsterdam, Netherlands",64.8885003216893,98.41269832222223,16.275733373964965,9.851618855855108,17.0,106081.0,5.0
"Copenhagen Municipality, Denmark",63.259418036382115,99.20634911111112,13.405797083333333,11.570881042346413,8.0,110264.0,1.0
"Innsbruck, Austria",59.98671944367961,97.14285706,21.77018631,10.747918184024924,1.0,7811.0,0.0
"Bristol, United Kingdom",57.497805935468165,98.97959174285715,16.274437898488927,9.525531195012608,8.0,83483.0,2.0
"Antwerp, Belgium",64.69976909414683,99.20634911111112,21.552795,10.873948304365127,17.0,82070.0,5.0
"Nuremberg, Germany",61.651419991861495,96.82539674444445,13.405797083333333,11.454113980145928,16.0,128413.0,1.0
"Malmo, Sweden",62.14648474103297,96.82539674444445,21.552795,8.892910248985382,7.0,61417.0,2.0
"Hannover, Germany",62.26840176107569,97.61904753333332,2.951597707739241,11.556312476519786,13.0,113055.0,0.0
"Leipzig, Germany",59.860835586886594,97.61904753333332,10.791925450000004,10.820402419860773,22.0,171440.0,2.0
"Berlin, Germany",62.74999267534346,99.20634911111112,13.405797083333333,12.074783962723465,70.0,443841.0,2.0
"Montreal, Canada",65.35079873665833,97.04968935000002,16.274417151628356,11.397440655557322,32.0,136289.0,9.0
