	distance	duration	surface_type	waytypes	steepness	suitability	maxspeed	lanes	oneway	connection
0	3518.8	728.3	9.8184	4.557455745574558	0.0	7.1266	41.0	2.0	0.0	11.0
1	5372.6	1103.9	8.995400459954006	6.159099999999999	0.0	7.5085999999999995	48.0	2.0	0.0	10.0
2	2780.5	609.5	9.573000000000002	4.8340000000000005	0.0	7.190799999999999	31.0	2.0	0.0	17.0
3	4732.8	1004.8	9.48954895489549	5.4376	0.04570457045704569	7.113811381138113	38.0	2.0	0.0	14.0
4	1788.3	383.6	9.0051	5.075800000000001	0.0	7.089	30.0	2.0	0.0	9.0
5	1812.8	388.9	10.0	6.0553	0.3084	7.0	44.0	2.0	0.0	8.0
6	2120.4	428.2	10.0	5.780799999999999	0.3564	7.0	33.0	2.0	0.0	9.0
7	3287.4	696.6	9.905199999999999	5.170300000000001	0.0	6.966	35.0	2.0	0.0	11.0
8	5626.0	1125.6	8.781600000000001	7.251400000000001	0.22780000000000003	6.9636000000000005	49.0	2.0	0.0	6.0
9	3300.3	660.0	9.499999999999998	5.338	0.0	7.172000000000001	48.0	2.0	0.0	9.0
10	4200.3	912.3	9.607160716071606	4.846384638463848	0.0	7.290800000000001	30.0	2.0	0.0	18.0
11	1546.4	313.3	10.0	5.831199999999999	-0.02040000000000003	7.0	32.0	2.0	0.0	6.0
12	1623.4	371.8	6.800119988001199	6.578499999999999	0.0	7.633100000000002	29.0	3.0	0.0	3.0
13	1826.0	365.2	10.0	5.023	1.9475000000000002	7.0	30.0	3.0	0.0	6.0
14	2462.7	492.5	10.0	6.192100000000001	0.0	7.0	39.0	2.0	0.0	8.0
15	2196.9	442.6	9.999999999999998	5.7418000000000005	0.0	6.9683	30.0	2.0	0.0	5.0
16	510.5	102.1	10.0	4.0	1.0	7.0	30.0	2.0	0.0	4.0
17	2060.6	412.1	10.0	5.084199999999999	1.2484000000000002	7.0	31.0	2.0	0.0	9.0
18	4872.9	990.4	9.713028697130287	5.274700000000001	0.0	7.024502450245025	33.0	2.0	0.0	18.0
19	3311.4	683.0	9.604360436043606	5.0602	0.0	7.047995200479953	32.0	2.0	0.0	12.0
